,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,takoradi,GH,2020-11-28 12:12:28,4.88,-1.76,23,83,79.592,2.83
1,ghaziabad,IN,2020-11-28 12:12:28,28.67,77.43,15,71,55.66999999999996,1.28
2,afmadu,,,,,,,,
3,albany,US,2020-11-28 12:12:28,42.6,-73.97,65,59,48.272000000000034,0.89
4,dharmanagar,IN,2020-11-28 12:10:23,24.37,92.17,0,91,60.69199999999999,0.73
5,lolua,,,,,,,,
6,umm lajj,SA,2020-11-28 12:12:29,25.02,37.27,0,48,73.38200000000002,4.43
7,arraial do cabo,BR,2020-11-28 12:12:29,-22.97,-42.03,0,69,80.86999999999996,10.8
8,kizlyar,RU,2020-11-28 12:12:29,43.85,46.72,14,83,46.219999999999956,5.26
9,riyadh,SA,2020-11-28 12:07:46,24.69,46.72,40,72,66.46999999999997,1.5
10,singkang,MY,2020-11-28 12:12:30,2.1,102.8,20,88,77.26999999999995,1.5
11,torbay,CA,2020-11-28 12:12:30,47.67,-52.73,90,100,55.274000000000015,6.7
12,east london,ZA,2020-11-28 12:12:30,-33.02,27.91,14,78,68.45,7.02
13,kruisfontein,ZA,2020-11-28 12:12:30,-34,24.73,79,94,61.26799999999999,0.45
14,cacador,BR,2020-11-28 12:12:31,-26.78,-51.02,18,44,83.642,0.93
15,vila velha,BR,2020-11-28 12:11:52,-20.33,-40.29,75,88,77.26999999999995,5.1
16,rikitea,PF,2020-11-28 12:12:31,-23.12,-134.97,100,81,76.87400000000002,6.03
17,sentyabrskiy,,,,,,,,
18,poum,NC,2020-11-28 12:12:31,-20.23,164.02,2,77,75.72200000000004,7.25
19,bredasdorp,ZA,2020-11-28 12:12:32,-34.53,20.04,0,82,57.469999999999956,0.5
20,ancud,CL,2020-11-28 12:12:32,-41.87,-73.82,75,62,56.26400000000004,3.6
21,mount gambier,AU,2020-11-28 12:12:32,-37.83,140.77,40,93,53.86999999999996,4.1
22,cherskiy,RU,2020-11-28 12:12:32,68.75,161.3,99,93,0.30199999999997473,1.52
